Items,Nominal Optical Transmission Power (dBm),Wavelength,Modulator Type,"Vbias
(V)","RF Signal	","Modulation Type	",RF Bits,Transmission Rate (bps),RF Voltage (mV),"""RF Power (dBm)""	","""RF Amplifier TX (dB)""	(dB)",SFM (km),SMF Attenuation,"""Dispersion (ps/nm·km)""	","Attenuation (dB)	",Splitter ,"Filter	",Optical Amplifier Current (mA) SOA,PRx (dBm),Photodiode,Maximum Allowed Optical Power (dBm),"""Optical Receiver Responsivity (A/W)""	","Detector BW	",RF Amplifier (RX) (dB),BER,EVM,Q-Factor,Transmission Quality,,,,,,,,,,,,,,,,,,,,
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,10.5,0,0,2.24E-01,-16.62,Pin,-3,0.8,1.00E+10,29,1.05E-07,13.62440812,5.19E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,11,0,0,2.24E-01,-17.1,Pin,-3,0.8,1.00E+10,29,1.45E-07,13.78375792,5.13E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,11.5,0,0,2.24E-01,-17.63,Pin,-3,0.8,1.00E+10,29,2.45E-07,14.05778889,5.03E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,12,0,0,2.24E-01,-18.14,Pin,-3,0.8,1.00E+10,29,2.72E-07,14.11390781,5.01E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,12.5,0,0,2.24E-01,-18.64,Pin,-3,0.8,1.00E+10,29,4.79E-07,14.43075064,4.90E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,13,0,0,2.24E-01,-19.13,Pin,-3,0.8,1.00E+10,29,6.49E-07,14.60964424,4.84E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,13.5,0,0,2.24E-01,-19.65,Pin,-3,0.8,1.00E+10,29,1.06E-06,14.91786458,4.74E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,14,0,0,2.24E-01,-20.12,Pin,-3,0.8,1.00E+10,29,1.82E-06,15.27228469,4.63E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,14.5,0,0,2.24E-01,-20.62,Pin,-3,0.8,1.00E+10,29,3.39E-06,15.71348403,4.50E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,15,0,0,2.24E-01,-21.11,Pin,-3,0.8,1.00E+10,29,6.50E-06,16.21804544,4.36E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,15.5,0,0,2.24E-01,-21.62,Pin,-3,0.8,1.00E+10,29,1.33E-05,16.83587574,4.20E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,16,0,0,2.24E-01,-22.13,Pin,-3,0.8,1.00E+10,29,2.67E-05,17.5026431,4.04E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,16.5,0,0,2.24E-01,-22.63,Pin,-3,0.8,1.00E+10,29,6.95E-05,18.5592331,3.81E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,17,0,0,2.24E-01,-23.15,Pin,-3,0.8,1.00E+10,29,2.70E-04,20.43661217,3.46E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,17.5,0,0,2.24E-01,-23.66,Pin,-3,0.8,1.00E+10,29,1.70E-02,33.35409345,2.12E+00,Mala Señal
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,18,0,0,2.24E-01,-24.17,Pin,-3,0.8,1.00E+10,29,2.02E-02,34.49301372,2.05E+00,Mala Señal
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,18.5,0,0,2.24E-01,-24.66,Pin,-3,0.8,1.00E+10,29,2.39E-02,35.7124637,1.98E+00,Mala Señal
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,19,0,0,2.24E-01,-25.17,Pin,-3,0.8,1.00E+10,29,2.44E-02,35.89374524,1.97E+00,Mala Señal
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,10,0,0,2.24E-01,-17.19,Pin,-3,0.8,1.00E+10,29,8.89E-03,29.83572916,2.37E+00,Aceptable
,7,1.55E-06,8036016 IM,1.7,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,10,0,0,2.24E-01,-16.92,Pin,-3,0.8,1.00E+10,29,2.01E-08,1.29E+01,5.49E+00,Excelente
,7,1.55E-06,8036016 IM,1.8,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,10,0,0,2.24E-01,-16.64,Pin,-3,0.8,1.00E+10,29,6.82E-08,1.34E+01,5.27E+00,Excelente
,7,1.55E-06,8036016 IM,1.9,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,10,0,0,2.24E-01,-16.37,Pin,-3,0.8,1.00E+10,29,3.18E-07,1.42E+01,4.98E+00,Excelente
,7,1.55E-06,8036016 IM,2,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,10,0,0,2.24E-01,-16.11,Pin,-3,0.8,1.00E+10,29,1.19E-02,3.13E+01,2.26E+00,Mala Señal
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,11,0,0,2.24E-01,-18.13,Pin,-3,0.8,1.00E+10,29,9.64E-03,3.02E+01,2.34E+00,Aceptable
,7,1.55E-06,8036016 IM,1.7,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,11,0,0,2.24E-01,.18.86,Pin,-3,0.8,1.00E+10,29,5.19E-08,1.33E+01,5.32E+00,Excelente
,7,1.55E-06,8036016 IM,1.8,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,11,0,0,2.24E-01,-17.61,Pin,-3,0.8,1.00E+10,29,1.53E-07,1.38E+01,5.12E+00,Excelente
,7,1.55E-06,8036016 IM,1.9,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,11,0,0,2.24E-01,-17.35,Pin,-3,0.8,1.00E+10,29,6.83E-07,1.46E+01,4.83E+00,Excelente
,7,1.55E-06,8036016 IM,2,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,11,0,0,2.24E-01,-17.1,Pin,-3,0.8,1.00E+10,29,3.39E-06,1.57E+01,4.50E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,12,0,0,2.24E-01,-19.14,Pin,-3,0.8,1.00E+10,29,9.90E-03,3.03E+01,2.33E+00,Aceptable
,7,1.55E-06,8036016 IM,1.7,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,12,0,0,2.24E-01,-18.88,Pin,-3,0.8,1.00E+10,29,9.13E-03,3.00E+01,2.36E+00,Aceptable
,7,1.55E-06,8036016 IM,1.8,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,12,0,0,2.24E-01,-18.61,Pin,-3,0.8,1.00E+10,29,4.55E-07,1.44E+01,4.91E+00,Excelente
,7,1.55E-06,8036016 IM,1.9,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,12,0,0,2.24E-01,-18.36,Pin,-3,0.8,1.00E+10,29,1.50E-06,1.51E+01,4.67E+00,Excelente
,7,1.55E-06,8036016 IM,2,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,12,0,0,2.24E-01,-18.11,Pin,-3,0.8,1.00E+10,29,5.41E-06,1.61E+01,4.40E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,12,0,0,2.24E-01,-17.87,Pin,-3,0.8,1.00E+10,29,1.36E-02,3.20E+01,2.21E+00,Mala Señal
,7,1.55E-06,8036016 IM,2.2,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,13,0,0,2.24E-01,-20.14,Pin,-3,0.8,1.00E+10,29,1.04E-02,3.06E+01,2.31E+00,Mala Señal
,7,1.55E-06,8036016 IM,1.7,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,13,0,0,2.24E-01,-19.61,Pin,-3,0.8,1.00E+10,29,1.10E-02,3.09E+01,2.29E+00,Mala Señal
,7,1.55E-06,8036016 IM,1.8,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,13,0,0,2.24E-01,-19.35,Pin,-3,0.8,1.00E+10,29,1.51E-06,1.51E+01,4.67E+00,Excelente
,7,1.55E-06,8036016 IM,1.9,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,13,0,0,2.24E-01,-19.1,Pin,-3,0.8,1.00E+10,29,2.55E-06,1.55E+01,4.56E+00,Excelente
,7,1.55E-06,8036016 IM,2,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,13,0,0,2.24E-01,-18.85,Pin,-3,0.8,1.00E+10,29,1.25E-02,3.16E+01,2.24E+00,Mala Señal
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,14,0,0,2.24E-01,-21.13,Pin,-3,0.8,1.00E+10,29,1.10E-02,3.09E+01,2.29E+00,Mala Señal
,7,1.55E-06,8036016 IM,1.7,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,14,0,0,2.24E-01,-20.87,Pin,-3,0.8,1.00E+10,29,9.38E-03,3.01E+01,2.35E+00,Aceptable
,7,1.55E-06,8036016 IM,1.8,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,14,0,0,2.24E-01,-20.6,Pin,-3,0.8,1.00E+10,29,4.94E-06,1.60E+01,4.42E+00,Excelente
,7,1.55E-06,8036016 IM,1.9,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,14,0,0,2.24E-01,-20.36,Pin,-3,0.8,1.00E+10,29,5.41E-06,1.61E+01,4.40E+00,Excelente
,7,1.55E-06,8036016 IM,2,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,14,0,0,2.24E-01,-20.11,Pin,-3,0.8,1.00E+10,29,2.07E-05,1.72E+01,4.10E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,14,0,0,2.24E-01,-19.88,Pin,-3,0.8,1.00E+10,29,1.43E-02,3.23E+01,2.19E+00,Mala Señal
,7,1.55E-06,8036016 IM,2.2,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,15,0,0,2.24E-01,-22.16,Pin,-3,0.8,1.00E+10,29,1.22E-02,3.14E+01,2.25E+00,Mala Señal
,7,1.55E-06,8036016 IM,1.7,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,15,0,0,2.24E-01,-21.9,Pin,-3,0.8,1.00E+10,29,4.26E-03,2.69E+01,2.63E+00,Aceptable
,7,1.55E-06,8036016 IM,1.8,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,15,0,0,2.24E-01,-21.63,Pin,-3,0.8,1.00E+10,29,8.16E-06,1.64E+01,4.31E+00,Excelente
,7,1.55E-06,8036016 IM,1.9,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,15,0,0,2.24E-01,-21.37,Pin,-3,0.8,1.00E+10,29,1.74E-05,1.71E+01,4.14E+00,Excelente
,7,1.55E-06,8036016 IM,2,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,15,0,0,2.24E-01,-21.12,Pin,-3,0.8,1.00E+10,29,6.95E-05,1.86E+01,3.81E+00,Excelente
,7,1.55E-06,8036016 IM,2.1,NRZ,4QAM,3328,1.00E+10,0.63,-21,29,25,4.74,17,15,0,0,2.24E-01,-20.89,Pin,-3,0.8,1.00E+10,29,1.54E-02,3.27E+01,2.16E+00,Mala Señal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.26,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.34,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.67,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.56,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.35,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.31,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
